direction,route,pattern,length,forward_context_length,samples,metric,median_ms,min_ms,max_ms,sample_stdev_ms,range_percent,material_reduction_ms
forward,0,0,65535,65535,6,send_ticks,600.0,583.3333333333334,600.0,8.606629658238706,2.7777777777777777,33.333333333333336
forward,0,0,65535,65535,6,reply_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,0,1,0,0,6,elapsed_us,0.4385,0.434,0.525,0.03536900714844377,20.752565564424174,0.18200000000000005
forward,0,1,0,0,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,0,0,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,1,1,6,elapsed_us,0.6755,0.669,0.743,0.0283384309139844,10.954848260547742,0.1479999999999999
forward,0,1,1,1,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,1,1,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,63,63,6,elapsed_us,1.161,1.1460000000000001,1.213,0.025791471458604297,5.770887166236004,0.1339999999999999
forward,0,1,63,63,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,63,63,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,64,64,6,elapsed_us,1.151,1.141,1.231,0.03451762834649372,7.819287576020852,0.18000000000000016
forward,0,1,64,64,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,64,64,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,65,65,6,elapsed_us,1.2185,1.155,1.24,0.03366551153133822,6.975789905621666,0.16999999999999993
forward,0,1,65,65,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,65,65,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,255,255,6,elapsed_us,2.785,2.766,2.823,0.020107212636265626,2.0466786355475763,0.13925
forward,0,1,255,255,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,1,255,255,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,256,256,6,elapsed_us,2.7785,2.704,2.8120000000000003,0.037313089749666496,3.8869893827604822,0.2160000000000002
forward,0,1,256,256,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,1,256,256,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,257,257,6,elapsed_us,2.8005,2.789,2.823,0.01554884776009678,1.2140689162649527,0.140025
forward,0,1,257,257,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,257,257,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,1,4095,4095,6,elapsed_us,36.9545,36.932,36.967,0.01202358792817962,0.09471106360524428,1.8477250000000003
forward,0,1,4095,4095,6,send_ticks,33.333333333333336,33.333333333333336,33.333333333333336,0.0,0.0,33.333333333333336
forward,0,1,4095,4095,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,4096,4096,6,elapsed_us,36.958,36.945,36.996,0.01851125783588643,0.13799448022079117,1.8479
forward,0,1,4096,4096,6,send_ticks,33.333333333333336,33.333333333333336,50.0,6.804138174397718,50.0,33.333333333333336
forward,0,1,4096,4096,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,1,4097,4097,6,elapsed_us,36.975500000000004,36.875,37.018,0.05224812596320242,0.38674257278468177,1.8487750000000003
forward,0,1,4097,4097,6,send_ticks,33.333333333333336,33.333333333333336,33.333333333333336,0.0,0.0,33.333333333333336
forward,0,1,4097,4097,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,1,32768,32768,6,elapsed_us,292.25600000000003,292.214,292.359,0.04952171240981071,0.04961403700864995,14.612800000000002
forward,0,1,32768,32768,6,send_ticks,283.33333333333337,283.33333333333337,300.0,8.606629658238706,5.882352941176471,33.333333333333336
forward,0,1,32768,32768,6,reply_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,0,1,65535,65535,6,elapsed_us,583.799,583.746,583.916,0.0583472364384124,0.029119611373092453,29.18995
forward,0,1,65535,65535,6,send_ticks,583.3333333333334,583.3333333333334,583.3333333333334,0.0,0.0,33.333333333333336
forward,0,1,65535,65535,6,reply_ticks,16.666666666666668,16.666666666666668,16.666666666666668,0.0,0.0,33.333333333333336
forward,0,2,0,0,6,elapsed_us,0.4445,0.433,0.523,0.04186645435190327,20.247469066366705,0.18000000000000005
forward,0,2,0,0,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,2,0,0,6,reply_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,0,2,1,1,6,elapsed_us,0.6775,0.673,0.759,0.04027240577202542,12.693726937269373,0.17199999999999993
forward,0,2,1,1,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,2,1,1,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,2,63,63,6,elapsed_us,1.161,1.157,1.166,0.0029944392908634273,0.7751937984496124,0.058050000000000004
forward,0,2,63,63,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,2,63,63,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,2,64,64,6,elapsed_us,1.1615,1.1520000000000001,1.24,0.039483751932493275,7.576409814894533,0.1759999999999997
forward,0,2,64,64,6,send_ticks,0.0,0.0,0.0,0.0,,
